# Moment       
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	(total_x total_y total_z)	(pressureFluid_x pressureFluid_y pressureFluid_z)	(pressureParticle_x pressureParticle_y pressureParticle_z)	(viscous_x viscous_y viscous_z)
1.22552        	(3.9621460e-06 5.4534199e-08 1.1364210e-05)	(3.9621460e-06 5.4534199e-08 1.1364210e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.22654        	(3.9342777e-06 -3.6943895e-08 9.4074848e-06)	(3.9342777e-06 -3.6943895e-08 9.4074848e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.22756        	(3.9515974e-06 4.8190515e-08 1.1209894e-05)	(3.9515974e-06 4.8190515e-08 1.1209894e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.22858        	(3.9213451e-06 -2.8706831e-08 9.5495367e-06)	(3.9213451e-06 -2.8706831e-08 9.5495367e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.22959        	(3.9380524e-06 4.5007679e-08 1.1113076e-05)	(3.9380524e-06 4.5007679e-08 1.1113076e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23061        	(3.9252144e-06 -2.4745042e-08 9.6464895e-06)	(3.9252144e-06 -2.4745042e-08 9.6464895e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23162        	(3.9281614e-06 4.1104452e-08 1.1010915e-05)	(3.9281614e-06 4.1104452e-08 1.1010915e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23264        	(3.9093457e-06 -1.7655927e-08 9.7563164e-06)	(3.9093457e-06 -1.7655927e-08 9.7563164e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23366        	(3.9192813e-06 3.7121931e-08 1.0909817e-05)	(3.9192813e-06 3.7121931e-08 1.0909817e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23468        	(3.8949649e-06 -1.5864608e-08 9.7607682e-06)	(3.8949649e-06 -1.5864608e-08 9.7607682e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.2357         	(3.9134918e-06 3.2133101e-08 1.0796141e-05)	(3.9134918e-06 3.2133101e-08 1.0796141e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23673        	(3.8942971e-06 -1.2365192e-08 9.8355548e-06)	(3.8942971e-06 -1.2365192e-08 9.8355548e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23775        	(3.8968641e-06 2.9145919e-08 1.0695538e-05)	(3.8968641e-06 2.9145919e-08 1.0695538e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23877        	(3.8907102e-06 -9.7450364e-09 9.8844822e-06)	(3.8907102e-06 -9.7450364e-09 9.8844822e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.23979        	(3.9094365e-06 2.4914608e-08 1.0645113e-05)	(3.9094365e-06 2.4914608e-08 1.0645113e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.24081        	(3.8841566e-06 -7.7204315e-09 9.9132620e-06)	(3.8841566e-06 -7.7204315e-09 9.9132620e-06)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
1.24182        	(3.9097011e-06 2.2658890e-08 1.0603263e-05)	(3.9097011e-06 2.2658890e-08 1.0603263e-05)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)	(0.0000000e+00 0.0000000e+00 0.0000000e+00)
