time	pressure
0.6075334143377802	-3.3309099782914835
9.72053462940461	-3.0314849743514145
17.618469015795867	-3.0330711703788076
20.048602673147016	-3.50217847755685
25.516403402187123	-3.804531843393651
29.161603888213847	-4.106519163993351
39.48967193195625	-3.941229403600463
50.42527339003645	-3.575224838202921
60.75334143377886	-3.543826291199153
79.5868772782503	-3.8488639887746174
97.81287970838396	-4.153779671271042
110.57108140947751	-4.424124414708917
123.32928311057107	-4.5940507481049515
141.55528554070474	-4.76507521721226
159.17375455650063	-5.03639608128238
169.50182260024303	-5.038470337625892
183.47509113001217	-5.041276684443588
198.66342648845688	-5.010854258072062
204.13122721749693	-4.844588377046932
214.4592952612394	-4.880135436737728
223.57229647630618	-4.781547252881335
236.33049817739976	-4.78410956954097
250.9113001215067	-4.586201111354011
267.9222357229648	-4.321835106788615
281.8955042527339	-4.458532666995431
294.65370595382745	-4.461094983655062
303.7667071688943	-4.496398013187797
312.87970838396114	-4.6655922561096475
317.7399756986634	-4.532677163352769
328.67557715674366	-4.501400631428034
334.7509113001215	-4.301783962134657
346.2940461725395	-4.40452065867807
356.6221142162819	-3.971448471506939
373.02551640340215	-3.974742878640754
385.176184690158	-3.943710376874076
400.9720534629405	-3.712573145497899
413.1227217496962	-3.547649430342098
424.66585662211423	-3.616913323538231
434.38639125151883	-3.250664727982631
450.7897934386391	-3.253959135116446
456.86512758201695	-3.5564345160322723
461.1178614823815	-3.557288621585485
472.6609963547995	-3.0575148578778553
478.1287970838396	-3.1590314036309657
483.59659781287974	-3.5618031795095995
490.8869987849331	-3.4963217537634037
498.1773997569866	-3.5647315414063243
506.075334143378	-3.3320081140027575
513.3657351154313	-3.400417901645678
