time	pressure
3.0376670716889436	-1.8920674946745528
10.328068043742405	-1.8600588722756335
17.010935601458087	-1.6605642180612818
23.08626974483596	-2.029985205671668
27.339003645200492	-2.499458558086804
34.62940461725394	-2.300085918951485
39.48967193195625	-2.167170826194603
47.9951397326853	-2.001515020564625
53.46294046172541	-1.8352491395394992
65.00607533414338	-1.6032578026101092
75.33414337788578	-1.7726960756900247
78.37181044957471	-1.8737245611270161
92.34507897934385	-1.5083300711246217
99.02794653705955	-1.4761994336466735
111.17861482381532	-1.4786397352272793
126.97448359659784	-1.5822305373239054
137.910085054678	-1.7852636288301333
150.6682867557716	-1.955189962226168
159.78128797083838	-1.8566017783697788
167.07168894289185	-1.925011566012703
179.82989064398544	-1.8606282759777777
187.72782503037666	-1.5609592418796403
206.5613608748481	-1.363904889245898
213.24422843256383	-1.0974646283369864
216.8894289185905	-0.9977783087693268
224.78736330498174	-1.1667285215331198
232.68529769137302	-1.1683147175605129
241.19076549210206	-1.4378053554451782
250.9113001215067	-1.4062847933623814
258.80923450789794	-1.4413437927370545
269.13730255164035	-1.74467327920609
275.2126366950182	-1.5785294132599894
286.1482381530984	-1.614198488029814
297.6913730255164	-1.6834623812259473
312.27217496962334	-1.753336349817232
