time	velocity
4.133321607598276	0.10200803212851406
15.087112440027752	0.09799196787148601
27.84129217600328	0.11405622489959844
41.799802616793215	0.14016064257028116
58.18407449750339	0.17228915662650612
69.71682349837306	0.1923694779116466
82.47100323434859	0.20843373493975914
97.0548862115127	0.2204819277108434
112.84554275496143	0.240562248995984
125.59239390652633	0.26265060240963856
135.31009683502867	0.27469879518072293
149.27105013728882	0.2987951807228916
155.95227625831794	0.30682730923694784
167.50456815094927	0.31084337349397595
180.8743489774182	0.32088353413654624
200.92535592491618	0.33895582329317275
219.15887393857668	0.351004016064257
229.47996365022135	0.3670682730923695
248.32663989290495	0.3751004016064257
259.2462306647514	0.3991967871485944
270.800965418853	0.4012048192771085
296.33131064403597	0.4152610441767069
314.56727151916664	0.42530120481927713
