time,posZ
-0.01,0.0
-0.00011812023597123321,-0.005538146450435611
0.009763759528057534,0.005744049056977343
0.0196456392920863,0.00890225008962384
0.029527519056115066,0.01312204079343438
0.03940939882014383,0.013598090894311346
0.0492912785841726,0.015204641387516475
0.05917315834820137,0.015953120491447998
0.06905503811223014,0.012899693458569467
0.07893691787625891,0.009185061356217744
0.08881879764028767,0.005706181068804554
0.09870067740431644,-0.00040383402796857217
0.10858255716834521,0.006676563455931256
0.11846443693237398,0.008437238607940673
0.12834631669640273,0.006272487824261553
0.1382281964604315,0.010178611885306029
0.14811007622446026,0.012971862582310523
0.15799195598848903,0.014188567722383971
0.1678738357525178,0.024795769283420373
0.17775571551654656,0.03408377304026325
0.18763759528057533,0.03784317706143603
0.1975194750446041,0.03715052190861716
0.20740135480863287,0.03665599704710193
0.21728323457266163,0.04014758732065387
0.2271651143366904,0.039572362945972446
0.23704699410071917,0.037986189966394426
0.24692887386474793,0.03455144944232394
0.2568107536287767,0.03158832755477109
0.26669263339280547,0.03132967332531664
0.27657451315683423,0.03464718529463362
0.286456392920863,0.035571255373540736
0.29633827268489177,0.03720007867282009
0.30622015244892054,0.052063438535601275
0.3161020322129493,0.06136176424365598
0.32598391197697807,0.07251070396939047
0.33586579174100684,0.09073342121434172
0.3457476715050356,0.10046113870580561
0.35562955126906437,0.10427220696761375
0.36551143103309314,0.1003609136733572
0.3753933107971219,0.09882952129291013
0.38527519056115067,0.09791218598753312
0.39515707032517944,0.09704012558972772
0.4050389500892082,0.09897121083241651
0.41492082985323697,0.099928430363351
0.42480270961726574,0.10023604842099383
0.4346845893812945,0.07505260739872698
0.4445664691453233,0.07863833397386664
0.45444834890935204,0.08111486396059553
0.4643302286733808,0.0841574432160839
0.4742121084374096,0.09097466647537669
0.48409398820143834,0.10140182560816305
0.4939758679654671,0.10551859639340129
0.5038577477294959,0.104613971213468
0.5137396274935246,0.10039355531227762
0.5236215072575534,0.0930812187084755
0.5335033870215822,0.08553286614902215
0.5433852667856109,0.07933078205116717
0.5532671465496397,0.08892297535385743
0.5631490263136685,0.07652399303147193
0.5730309060776972,0.07041086950700848
0.582912785841726,0.06910604656957764
0.5927946656057548,0.07048087330717813
0.6026765453697835,0.0722909857693815
0.6125584251338123,0.07304082718517567
0.6224403048978411,0.07391502256660755
0.6323221846618698,0.054441655900111914
0.6422040644258986,0.032432811443537254
0.6520859441899274,-0.03039202044089507
0.6619678239539561,-0.038862810869736454
0.6718497037179849,-0.04968095294996057
0.6817315834820137,-0.0523383581691579
0.6916134632460424,-0.04102762659898414
0.7014953430100712,-0.033507641504994995
