X	Y
0.001425	0.037565
0.005183	0.035492
0.007507	0.033679
0.012365	0.033420
0.017817	0.032124
0.022395	0.031606
0.026967	0.031347
0.032116	0.030829
0.037265	0.030311
0.041563	0.029534
0.047003	0.028756
0.052437	0.028238
0.057884	0.027202
0.064221	0.024611
0.067955	0.023575
0.073116	0.022539
0.077700	0.021762
0.081998	0.020984
0.086011	0.020207
0.091451	0.019430
0.098295	0.019689
0.104020	0.018912
0.109187	0.017617
0.114662	0.015285
0.118717	0.012694
0.123907	0.010363
0.127361	0.009067
0.132819	0.007513
0.138283	0.005699
0.142867	0.004922
0.148028	0.003886
0.152653	0.001295
