X	Y
0.004582	0.041927
0.009737	0.041927
0.018614	0.041927
0.023196	0.041667
0.028351	0.041927
0.032360	0.041667
0.036942	0.041406
0.040092	0.039583
0.044674	0.037240
0.048110	0.034115
0.051546	0.030729
0.054124	0.027344
0.055556	0.024479
0.057560	0.020833
0.059851	0.019271
0.062715	0.017708
0.064719	0.016406
0.068442	0.013542
0.072165	0.009635
0.076460	0.008854
0.081329	0.007552
0.086197	0.006510
0.091352	0.005469
0.097079	0.004948
0.101088	0.004167
0.105097	0.003125
0.107961	0.002083
0.109679	0.000781
