-0.0964, -0.0249
-0.0905, -0.0248
-0.0863, -0.0255
-0.0795, -0.0264
-0.0735, -0.0276
-0.0664, -0.0292
-0.0602, -0.0316
-0.0534, -0.0345
-0.0478, -0.0377
-0.0427, -0.0411
-0.0371, -0.0447
-0.0316, -0.0479
-0.0269, -0.0513
-0.0212, -0.0545
-0.0138, -0.0571
-5.0115e-3, -0.0592
3.7374e-3, -0.06
0.0151, -0.0585
0.0255, -0.0556
0.035, -0.0509
0.0448, -0.0468
0.0532, -0.0429
0.063, -0.0392
0.0752, -0.0342
0.0882, -0.0292
0.0998, -0.0245
0.1126, -0.0203
0.1259, -0.0157
0.1378, -0.0126
0.153, -9.6136e-3
0.1663, -8.6309e-3
0.1788, -8.3086e-3
0.1897, -9.3039e-3
0.198, -0.0114
0.207, -0.0131
0.2165, -0.0151
0.2251, -0.0165
0.2348, -0.0179
0.2406, -0.0191
0.2483, -0.0199
0.2541, -0.0216
0.2599, -0.0229
0.2676, -0.0247
