# z phi vxP vxF T
7.207877461706783603e-03 6.147327947890923738e-01 6.178585068732059298e-06 2.877185646785948916e-02 3.727198935219168211e-07
7.408096280087527255e-03 6.130104960698549155e-01 6.293801471859700887e-06 2.654539549269013463e-02 3.827037688587173060e-07
7.608315098468270907e-03 6.109550238276335588e-01 6.410254542577140208e-06 2.087002458307702854e-02 3.931673089788852672e-07
7.808533916849015426e-03 6.090836630340257241e-01 6.521412798242375924e-06 1.345350373467895343e-02 4.039524565758363731e-07
8.008752735229759945e-03 6.071451147073997356e-01 6.620158481860262124e-06 6.568238442923286270e-03 4.150519158330873034e-07
8.208971553610503596e-03 6.054498868525350908e-01 6.702513335239799662e-06 2.168866583545154235e-03 4.263452505459839687e-07
8.409190371991247248e-03 6.040843573342409289e-01 6.793804557395065888e-06 3.897332113304577622e-04 4.379744952638459428e-07
8.609409190371990900e-03 6.033740115467173259e-01 6.871756698136925680e-06 1.425244219202761889e-04 4.497635338429889240e-07
8.809628008752734551e-03 6.035031875686068803e-01 6.944782209706610270e-06 1.134765799512160343e-04 4.614745810091950821e-07
9.009846827133478203e-03 6.040457593369977785e-01 7.027930645424641516e-06 1.084785311826921248e-04 4.731949286096606458e-07
9.210065645514223590e-03 6.048981610473378456e-01 7.127571551002604612e-06 3.319598124199031586e-04 4.848898527607189552e-07
9.410284463894967241e-03 6.063077906279916718e-01 7.226868555594137463e-06 1.838616898918206963e-03 4.963158706495817193e-07
9.610503282275710893e-03 6.082433134405939024e-01 7.316102500870232646e-06 5.422267266164459976e-03 5.070207311454494285e-07
9.810722100656454545e-03 6.103497477276111916e-01 7.411409058160944228e-06 1.168737257402375357e-02 5.172932121866701268e-07
1.001094091903719820e-02 6.125819096253294349e-01 7.493008284440359792e-06 1.870884482526294357e-02 5.270198262282631182e-07
1.021115973741794358e-02 6.146402140645590428e-01 7.572709612171196444e-06 2.427811995149753432e-02 5.364396987434501030e-07
1.041137855579868723e-02 6.161272510825726023e-01 7.662691829705162795e-06 2.673064376867831035e-02 5.457818751493812810e-07
1.061159737417943089e-02 6.169573231333455032e-01 7.758982272895837101e-06 2.532353645837370423e-02 5.550177698462299168e-07
1.081181619256017454e-02 6.173685414327313437e-01 7.862053423451033818e-06 2.044994691156331451e-02 5.642783206014938337e-07
1.101203501094091819e-02 6.174340463052294670e-01 7.973586371302402611e-06 1.363152515629426596e-02 5.736171820222090639e-07
1.121225382932166184e-02 6.173380299048164543e-01 8.093849754065485149e-06 7.155630573126826009e-03 5.830542405667252850e-07
1.141247264770240723e-02 6.175083077146286126e-01 8.214753845482529121e-06 2.647517455674985865e-03 5.925031988306870100e-07
1.161269146608315088e-02 6.184985684553298002e-01 8.340370218393982951e-06 5.563613765371792658e-04 6.017743441838143052e-07
1.181291028446389453e-02 6.199165987202397421e-01 8.479393256127204623e-06 1.875668854342404804e-04 6.110175318982229783e-07
1.201312910284463818e-02 6.213016835384919112e-01 8.604063236406089160e-06 1.304678118860669713e-04 6.202708474681982393e-07
1.221334792122538183e-02 6.224096929187640237e-01 8.728482072662965623e-06 1.179617399608730023e-04 6.297632394798514100e-07
1.241356673960612722e-02 6.228670136946741209e-01 8.867093334907326390e-06 1.437265455174961649e-04 6.396177514553167379e-07
1.261378555798687087e-02 6.225419051656837510e-01 9.016496197337121291e-06 7.535207884970198831e-04 6.498016938274922237e-07
1.281400437636761452e-02 6.219648120622326415e-01 9.171797300837001489e-06 3.063209919068575916e-03 6.601870883665447290e-07
1.301422319474835818e-02 6.208180405115103495e-01 9.324256798481026637e-06 7.856593580040170666e-03 6.706281612631785000e-07
1.321444201312910183e-02 6.190681924211413056e-01 9.481232986768180080e-06 1.489360702506824403e-02 6.813582883425121104e-07
1.341466083150984721e-02 6.172896521298389949e-01 9.644688253625997810e-06 2.183573103541539343e-02 6.922937210217246072e-07
1.361487964989059087e-02 6.159108767994510014e-01 9.818693530954270433e-06 2.626251206116680253e-02 7.035121836211313336e-07
1.381509846827133452e-02 6.150838467880264115e-01 9.996054325138502709e-06 2.674688367965331881e-02 7.149155861690992500e-07
1.401531728665207817e-02 6.148672584412414599e-01 1.018424087560544304e-05 2.318613152404694691e-02 7.264650389935485435e-07
