#j        y/delta             y+         u_mean         v_mean         w_mean   omega_x_mean   omega_y_mean   omega_z_mean         p_mean
 41   0.530699E-01   0.340995E+02   0.138568E+02   0.145686E-18   0.140758E-02  -0.332120E-03  -0.698376E-21  -0.849506E-01  -0.827117E+00
 42   0.557313E-01   0.358096E+02   0.139964E+02   0.109621E-18   0.832924E-03  -0.339255E-03  -0.199821E-20  -0.784461E-01  -0.856497E+00
 43   0.584559E-01   0.375603E+02   0.141286E+02  -0.406569E-19   0.235056E-03  -0.343412E-03   0.934429E-20  -0.727052E-01  -0.883890E+00
 44   0.612436E-01   0.393515E+02   0.142542E+02   0.890507E-19  -0.382661E-03  -0.346111E-03   0.128340E-20  -0.676331E-01  -0.909303E+00
 45   0.640941E-01   0.411830E+02   0.143738E+02  -0.684476E-19  -0.101808E-02  -0.347505E-03  -0.432526E-20  -0.631470E-01  -0.932760E+00
 46   0.670072E-01   0.430548E+02   0.144882E+02   0.206311E-18  -0.166871E-02  -0.347438E-03  -0.583328E-20  -0.591743E-01  -0.954302E+00
 47   0.699828E-01   0.449667E+02   0.145979E+02  -0.808561E-19  -0.233166E-02  -0.345762E-03   0.186251E-20  -0.556499E-01  -0.973979E+00
 48   0.730206E-01   0.469187E+02   0.147034E+02   0.474730E-20  -0.300322E-02  -0.341946E-03   0.813351E-20  -0.525158E-01  -0.991852E+00
 49   0.761205E-01   0.489104E+02   0.148052E+02  -0.146888E-18  -0.367839E-02  -0.335595E-03   0.697907E-20  -0.497208E-01  -0.100799E+01
 50   0.792822E-01   0.509420E+02   0.149036E+02  -0.764940E-19  -0.435157E-02  -0.326804E-03   0.701206E-20  -0.472190E-01  -0.102246E+01
 51   0.825055E-01   0.530131E+02   0.149990E+02   0.430462E-18  -0.501778E-02  -0.316428E-03   0.147877E-20  -0.449683E-01  -0.103535E+01
 52   0.857902E-01   0.551237E+02   0.150917E+02   0.129043E-18  -0.567459E-02  -0.306137E-03   0.245108E-20  -0.429330E-01  -0.104674E+01
 53   0.891362E-01   0.572736E+02   0.151820E+02   0.703525E-19  -0.632248E-02  -0.296718E-03   0.818153E-20  -0.410854E-01  -0.105672E+01
 54   0.925431E-01   0.594626E+02   0.152701E+02  -0.257564E-18  -0.696169E-02  -0.287162E-03  -0.118164E-19  -0.394023E-01  -0.106540E+01
 55   0.960107E-01   0.616907E+02   0.153561E+02   0.797297E-20  -0.758970E-02  -0.276322E-03  -0.429985E-20  -0.378628E-01  -0.107285E+01
 56   0.995388E-01   0.639577E+02   0.154403E+02   0.173748E-18  -0.820220E-02  -0.263800E-03  -0.176347E-20  -0.364483E-01  -0.107918E+01
 57   0.103127E+00   0.662634E+02   0.155228E+02   0.258216E-18  -0.879451E-02  -0.249855E-03  -0.559110E-20  -0.351440E-01  -0.108446E+01
 58   0.106776E+00   0.686077E+02   0.156038E+02  -0.299616E-18  -0.936337E-02  -0.235508E-03  -0.194235E-20  -0.339380E-01  -0.108880E+01
 59   0.110484E+00   0.709903E+02   0.156833E+02  -0.240139E-18  -0.990690E-02  -0.220438E-03   0.341949E-20  -0.328202E-01  -0.109226E+01
