#j        y/delta             y+         u_mean         v_mean         w_mean   omega_x_mean   omega_y_mean   omega_z_mean         p_mean
174   0.845182E+00   0.543063E+03   0.213456E+02  -0.102876E-17  -0.887817E-02   0.367269E-04  -0.360929E-21  -0.391151E-02  -0.441603E+00
175   0.853270E+00   0.548260E+03   0.213654E+02  -0.375997E-18  -0.868095E-02   0.387656E-04   0.642681E-21  -0.372330E-02  -0.437798E+00
176   0.861367E+00   0.553463E+03   0.213843E+02   0.124078E-17  -0.848041E-02   0.377321E-04   0.404212E-20  -0.353263E-02  -0.434175E+00
177   0.869474E+00   0.558672E+03   0.214022E+02   0.105059E-17  -0.829360E-02   0.336261E-04   0.208666E-20  -0.333950E-02  -0.430730E+00
178   0.877589E+00   0.563886E+03   0.214191E+02   0.899583E-19  -0.813103E-02   0.289054E-04   0.346091E-20  -0.314346E-02  -0.427460E+00
179   0.885713E+00   0.569106E+03   0.214350E+02  -0.857714E-18  -0.798771E-02   0.265735E-04  -0.217474E-20  -0.294470E-02  -0.424368E+00
180   0.893844E+00   0.574331E+03   0.214499E+02   0.174217E-17  -0.784754E-02   0.275677E-04  -0.985939E-21  -0.274455E-02  -0.421460E+00
181   0.901983E+00   0.579560E+03   0.214637E+02  -0.498880E-18  -0.769638E-02   0.303286E-04   0.682571E-20  -0.254383E-02  -0.418746E+00
182   0.910128E+00   0.584794E+03   0.214765E+02   0.456651E-18  -0.753133E-02   0.325032E-04  -0.321237E-20  -0.234192E-02  -0.416235E+00
183   0.918279E+00   0.590031E+03   0.214882E+02  -0.463706E-18  -0.735882E-02   0.331566E-04  -0.312450E-20  -0.213782E-02  -0.413932E+00
184   0.926435E+00   0.595272E+03   0.214989E+02  -0.217629E-17  -0.718505E-02   0.331428E-04  -0.796004E-20  -0.193085E-02  -0.411840E+00
185   0.934597E+00   0.600516E+03   0.215084E+02  -0.120365E-18  -0.701121E-02   0.331383E-04  -0.704991E-20  -0.172108E-02  -0.409962E+00
186   0.942763E+00   0.605763E+03   0.215169E+02  -0.167650E-17  -0.683841E-02   0.325638E-04  -0.316699E-20  -0.150898E-02  -0.408299E+00
187   0.950932E+00   0.611012E+03   0.215243E+02  -0.273139E-18  -0.667141E-02   0.308779E-04  -0.484388E-20  -0.129465E-02  -0.406850E+00
188   0.959105E+00   0.616263E+03   0.215305E+02   0.181959E-17  -0.651590E-02   0.281881E-04  -0.307618E-20  -0.107832E-02  -0.405614E+00
189   0.967281E+00   0.621517E+03   0.215356E+02  -0.196999E-18  -0.637738E-02   0.243092E-04  -0.132580E-20  -0.861304E-03  -0.404589E+00
190   0.975459E+00   0.626771E+03   0.215396E+02  -0.237973E-17  -0.626314E-02   0.189373E-04  -0.436628E-20  -0.644745E-03  -0.403780E+00
191   0.983638E+00   0.632027E+03   0.215424E+02   0.434827E-18  -0.618005E-02   0.126050E-04   0.615878E-21  -0.428757E-03  -0.403194E+00
192   0.991819E+00   0.637283E+03   0.215441E+02  -0.417717E-18  -0.613073E-02   0.619588E-05  -0.178893E-21  -0.213744E-03  -0.402839E+00
193   0.100000E+01   0.642540E+03   0.215446E+02   0.000000E+00  -0.611451E-02   0.000000E+00  -0.597569E-20   0.000000E+00  -0.402720E+00
